№ объекта,Адрес объекта,Город,Статус,Region,Locality,Address,Full Address,Latitude,Longitude,Lat,Lng,Error
03-00-4030,"ул. Волынская, 10",Киев,FALSE,,,,"Киев ул. Волынская, 10",50.43008649999999,30.4501173,,,getaddrinfo ENOTFOUND api
03-00-4032,"пр-т Сталинграда, 7а кв. 109",Киев,FALSE,,,,"Киев пр-т Сталинграда, 7а кв. 109",50.4982997,30.5149443,,,getaddrinfo ENOTFOUND api
